StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Gujarat,JUNAGADH,BHESAN,BAMANGADH,394,394,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,BARWALA,75,75,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,BHATGAM,247,247,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,BHESAN,2027,2027,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,CHANAKA,620,620,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,CHHODVADI,1072,1072,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,CHUDA,1113,1113,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,DAMRALA,161,161,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,DHOLWA,360,360,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,GALATH,829,829,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,GORAKHPUR,148,148,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,GORVIYALI,231,231,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,"HADMATIYA KHAJURI",437,437,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,"HADMATIYA KHAKHRA",364,364,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,"HADMATIYA VISHAL",208,208,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,"JUNI DHARI GUNDALI",65,65,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,KARIYA,200,200,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,KHAMBHALIYA,641,641,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,KHARACHIYA,93,93,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,MALIDA,124,124,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,MANDVA,27,27,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,MENDPARA,233,233,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,MORWADA,144,144,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,"MOTA GUJARIYA",86,86,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,"NAVI DHARI GUNDALI",217,217,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,"PARAB VAVDI",530,530,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,PASWALA,111,111,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,PATLA,81,81,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,"PIPALIYA TADKA",36,36,"2/2/2019 12:00:00 AM"
Gujarat,JUNAGADH,BHESAN,RAFALIYA,259,259,"2/2/2019 12:00:00 AM"
